"0.0, 0.0, 0.042, 0.87, 0.408, 0.218, 0.875, 0.941, 0.755, 0.615, 0.951, 0.807, 0.97, 0.313, 0.791, 0.043, 0.737, 0.762, 1.0, 1.0, 1.41706389786"
"0.0, 0.0, 0.965, 0.508, 0.587, 0.306, 0.639, 0.718, 0.224, 0.598, 0.746, 0.145, 0.046, 0.467, 0.299, 0.576, 0.88, 0.944, 1.0, 1.0, 2.45863287123"
"0.0, 0.0, 0.752, 0.399, 0.053, 0.086, 0.335, 0.501, 0.442, 0.742, 0.157, 0.936, 0.746, 0.899, 0.397, 0.917, 0.461, 0.71, 1.0, 1.0, 3.91144508627"
"0.0, 0.0, 0.956, 0.237, 0.865, 0.24, 0.305, 0.766, 0.92, 0.314, 0.655, 0.799, 0.461, 0.739, 0.905, 0.297, 0.325, 0.385, 1.0, 1.0, 6.20106729892"
"0.0, 0.0, 0.916, 0.035, 0.551, 0.401, 0.98, 0.661, 0.437, 0.473, 0.075, 0.835, 0.158, 0.692, 0.962, 0.314, 0.211, 0.819, 1.0, 1.0, 1.35770777432"
"0.0, 0.0, 0.673, 0.325, 0.5, 0.072, 0.7, 0.65, 0.649, 0.976, 0.469, 0.729, 0.42, 0.525, 0.049, 0.692, 0.826, 0.85, 1.0, 1.0, 1.14685127207"
"0.0, 0.0, 0.621, 0.371, 0.972, 0.371, 0.376, 0.069, 0.72, 0.305, 0.789, 0.401, 0.174, 0.459, 0.617, 0.237, 0.341, 0.35, 1.0, 1.0, 5.76765453531"
"0.0, 0.0, 0.598, 0.632, 0.076, 0.59, 0.786, 0.262, 0.674, 0.276, 0.375, 0.564, 0.922, 0.261, 0.25, 0.901, 0.433, 0.372, 1.0, 1.0, 2.00907205418"
"0.0, 0.0, 0.018, 0.298, 0.081, 0.601, 0.332, 0.829, 0.453, 0.614, 0.595, 0.205, 0.273, 0.309, 0.485, 0.199, 0.369, 0.241, 1.0, 1.0, 4.94869597521"
"0.0, 0.0, 0.397, 0.079, 0.916, 0.407, 0.626, 0.246, 0.073, 0.368, 0.687, 0.706, 0.985, 0.801, 0.137, 0.468, 0.065, 0.877, 1.0, 1.0, 1.12158685821"
"0.0, 0.0, 0.957, 0.792, 0.451, 0.328, 0.166, 0.729, 0.028, 0.759, 0.188, 0.452, 0.985, 0.591, 0.979, 0.374, 0.781, 0.186, 1.0, 1.0, 1.70031614007"
